id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
302269,US-0220,closed,Kingstown Municipal Airport/RAF Kingstown/RAF Carlisle,54.926944,-2.960278,,EU,GB,GB-ENG,Cumbria,no,,,,,,https://en.wikipedia.org/wiki/RAF_Carlisle,
302270,US-0221,closed,RAF Cardington,52.108922,-0.422499,98,EU,GB,GB-ENG,"Bedford, Bedfordshire",no,,,,,,https://en.wikipedia.org/wiki/RAF_Cardington,
302272,US-0222,closed,RAF Chailey,50.95521,-0.055876,,EU,GB,GB-ENG,"Lewes, East Sussex",no,,,,,,https://en.wikipedia.org/wiki/RAF_Chailey,
26370,USCC,medium_airport,Chelyabinsk Balandino Airport,55.305801,61.5033,769,EU,RU,RU-CHE,Chelyabinsk,yes,USCC,CEK,USCC,,http://cekport.ru/,https://en.wikipedia.org/wiki/Chelyabinsk_Airport,
34963,USCG,small_airport,Chelyabinsk Shagol Airport,55.2599983215332,61.29999923706055,830,AS,RU,RU-CHE,,no,,,USCG,,,https://en.wikipedia.org/wiki/Chelyabinsk_Shagol_Airport,Bakal Airport
26371,USCM,medium_airport,Magnitogorsk International Airport,53.39310073852539,58.755699157714844,1430,EU,RU,RU-BA,Magnitogorsk,yes,USCM,MQF,USCM,,,https://en.wikipedia.org/wiki/Magnitogorsk_International_Airport,
44456,USCV,small_airport,Kalachevo Airfield,54.952999114990234,61.5,,AS,RU,RU-CHE,Chelyabinsk,no,,,USCV,,,,Аэродром Калачево
327554,USDA,medium_airport,Sabetta International Airport,71.219167,72.052222,46,AS,RU,RU-YAN,Sabetta,yes,USDA,SBT,USDA,,,https://en.wikipedia.org/wiki/Sabetta_International_Airport,"Oil & Gas, Yamal LNG project, Sabetta terminal port, NOVATEK"
343470,USDB,medium_airport,Bovanenkovo Airport,70.315278,68.333611,24,AS,RU,RU-YAN,Bovanenkovo,yes,USDB,BVJ,USDB,,https://avia.gazprom.com/about/airports/bovanenkovo/,https://en.wikipedia.org/wiki/Bovanenkovo_Airport,"HELIOPS, GAZPROM, LNG"
26372,USDD,medium_airport,Salekhard Airport,66.5907974243164,66.61100006103516,218,AS,RU,RU-YAN,Salekhard,yes,USDD,SLY,USDD,,,https://en.wikipedia.org/wiki/Salekhard_Airport,
527428,USDE,heliport,Soyakha Helipad (New),70.163871,72.527575,,EU,RU,RU-YAN,Soyakha,no,,,USDE,,,,HELIOPS
43664,USDI,small_airport,Antipayuta Airport,69.092869,76.860989,69,EU,RU,RU-YAN,Antipayuta,no,,,USDI,,,,"УСДИ, Аэропорт Антипаюта"
32551,USDK,small_airport,Mys Kamenny Airport,68.467676,73.596733,3,AS,RU,RU-YAN,Mys Kamennyi,no,USDK,YMK,USDK,,,,Аэропорт Мыс Каменный
44848,USDL,heliport,Labytnangi Heliport,66.67449951171875,66.44200134277344,,EU,RU,RU-YAN,Labytnangi,no,,,USDL,,,,Вертодром Лабытнанги
44669,USDO,small_airport,Tolka Airport,63.987808,82.050889,92,EU,RU,RU-YAN,Tolka,yes,,,USDO,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D1%8C%D0%BA%D0%B0_(%D0%B0%D1%8D%D1%80%D0%BE%D0%BF%D0%BE%D1%80%D1%82),Аэропорт Толька
45048,USDP,small_airport,Krasnoselkup Airport,65.717,82.455,101,EU,RU,RU-YAN,Krasnoselkup,no,USDP,KKQ,USDP,,,,Аэропорт Красноселькуп
43339,USDR,small_airport,Yar-Sale Airport,66.853517,70.847406,33,EU,RU,RU-YAN,Yar-Sale,no,,,USDR,,,,"Yar-Salye Airport, Аэропорт Яр-Сале"
32552,USDS,small_airport,Tarko-Sale Airport,64.930485,77.811295,82,EU,RU,RU-YAN,Tarko-Sale,no,USDS,TQL,USDS,,,,
32553,USDT,small_airport,Tazovsky Airport,67.4842,78.644402,92,EU,RU,RU-YAN,Tazovsky,no,,,USDT,,,,
44860,USDU,small_airport,Urengoy Airport,65.9599990845,78.43699646,56,EU,RU,RU-YAN,Urengoy,no,USDU,UEN,USDU,,,,Аэропорт Уренгой
597098,USDV,heliport,Yaptik-Sale Heliport,69.383148,72.522621,3,AS,RU,RU-YAN,Yaptik-Sale,no,,,USDV,,,,"УСДЖ, Яптиксале, Яптик-Сале, Yaptiksale"
526629,USDX,heliport,Kharasaveyskoye GKM AP Bovanenkovo Heliport,71.123492,66.927338,63,AS,RU,RU-YAN,Kharasavey,no,,,USDX,,,,"HELIOPS, GAZPROM, LNG, OIL & GAS"
310629,USHA,small_airport,Saranpaul' Airport,64.2571,60.9123,90,EU,RU,RU-KHM,Saranpaul',no,,,USHA,,,,"УСХА, Саранпауль"
43693,USHB,medium_airport,Berezovo Airport,63.92100143432617,65.03050231933594,98,AS,RU,RU-KHM,,no,,EZV,USHB,,,,"Beryozovo Airport, Аэропорт Березово, Аэропорт Берёзово"
26373,USHH,medium_airport,Khanty Mansiysk Airport,61.0285,69.086098,76,AS,RU,RU-KHM,Khanty-Mansiysk,yes,USHH,HMA,USHH,,,https://en.wikipedia.org/wiki/Khanty-Mansiysk_Airport,
43688,USHI,small_airport,Igrim Airport,63.200391,64.440136,79,AS,RU,RU-KHM,,no,USHI,IRM,USHI,,,https://en.wikipedia.org/wiki/Igrim_Airport,Аэропорт Игрим
42942,USHK,small_airport,Kondinskoye Airport,59.655083,67.430046,131,AS,RU,RU-KHM,Kondinskoye,no,USHK,KXD,USHK,,,https://en.wikipedia.org/wiki/Kondinskoye_Airport,Аэропорт Кондинское
44617,USHL,small_airport,Lugovoy Airport,59.725122,65.833281,,AS,RU,RU-KHM,Lugovoy,yes,USHL,,USHL,,,,Аэропорт Луговой
42944,USHN,medium_airport,Nyagan Airport,62.110001,65.614998,361,EU,RU,RU-KHM,Nyagan,yes,USHN,NYA,USHN,,,https://en.wikipedia.org/wiki/Nyagan_Airport,"УСХН, Аэропорт Нягань"
43692,USHQ,medium_airport,Beloyarskiy Airport,63.686901,66.698601,82,EU,RU,RU-KHM,,yes,USHQ,EYK,USHQ,,,https://en.wikipedia.org/wiki/Beloyarsk_Airport,"Beloyarsky Airport, Аэропорт Белоярский, УСХЯ"
32554,USHS,medium_airport,Sovetskiy Airport,61.326622009277344,63.60191345214844,351,AS,RU,RU-KHM,Sovetskiy,yes,USHS,OVS,USHS,,,https://en.wikipedia.org/wiki/Sovetsky_Tyumenskaya,"Sovyetskiy Airport, Sovyetsky Airport, Sovetsky Airport, Аэропорт Советский"
32548,USHU,medium_airport,Uray Airport,60.103298,64.826698,190,AS,RU,RU-KHM,Uray,yes,USHU,URJ,USHU,,,https://en.wikipedia.org/wiki/Uray_Airport,Urai
31670,USII,medium_airport,Izhevsk Airport,56.82809829711914,53.45750045776367,531,EU,RU,RU-UD,Izhevsk,yes,USII,IJK,USII,,,https://en.wikipedia.org/wiki/Izhevsk_Airport,Аэропорт Ижевск
42945,USKK,medium_airport,Pobedilovo Airport,58.503883,49.347831,479,EU,RU,RU-KIR,Kirov,yes,USKK,KVX,USKK,,http://www.pobedilovo.com/,https://en.wikipedia.org/wiki/Pobedilovo_Airport,Аэропорт Победилово
35175,USMM,medium_airport,Nadym Airport,65.48090362548828,72.69889831542969,49,AS,RU,RU-YAN,Nadym,yes,USMM,NYM,USMM,,,https://en.wikipedia.org/wiki/Nadym_Airport,Аэропорт Надым
32057,USMU,medium_airport,Novy Urengoy Airport,66.06939697265625,76.52030181884766,210,AS,RU,RU-YAN,Novy Urengoy,yes,USMU,NUX,USMU,,,https://en.wikipedia.org/wiki/Novy_Urengoy_Airport,
26374,USNN,medium_airport,Nizhnevartovsk Airport,60.949299,76.483597,177,AS,RU,RU-KHM,Nizhnevartovsk,yes,USNN,NJC,USNN,,,https://en.wikipedia.org/wiki/Nizhnevartovsk_Airport,
26375,USPP,medium_airport,Perm International Airport,57.914501,56.021198,404,EU,RU,RU-PER,Perm,yes,USPP,PEE,USPP,,http://www.aviaperm.ru/,https://en.wikipedia.org/wiki/Perm_International_Airport,Bolshoye Savino
42976,USPT,small_airport,Berezniki Airport,59.579548,56.857681,207,AS,RU,RU-PER,Solikamsk,no,,,USPT,,,https://en.wikipedia.org/wiki/Berezniki_Airport,Аэропорт Березники
